server,mean,median,std_dev,outliers
http://server3:8083/abort,1.1980040144408121e-05,7.104001269908622e-06,1.60433051506124e-05,"[7.595799979753792e-05, 6.987499727983959e-05, 9.129200043389574e-05, 6.308299998636357e-05]"
http://server1:8081/abort,8.349590279976837e-06,7.208000170066953e-06,6.183202732122065e-06,"[3.162500070175156e-05, 3.4666998544707894e-05, 2.9167000320740044e-05, 4.929100032313727e-05]"
http://server1:8081/wait,1.007455986837158e-05,7.166499926825054e-06,1.144093334636882e-05,"[6.062499960535206e-05, 6.133399801910855e-05, 5.0708000344457105e-05, 6.308299998636357e-05]"
http://server2:8082/abort,1.1576709912333172e-05,7.687498509767465e-06,1.30011122855398e-05,"[6.36670010862872e-05, 6.41250007902272e-05, 6.275000123423524e-05]"
http://server3:8083/wait,9.164529947156552e-06,7.479500709450804e-06,8.763038503102627e-06,"[6.86249986756593e-05, 4.3333002395229414e-05, 4.183299824944697e-05, 3.745800131582655e-05]"
http://server3:8083/reset,8.875000094121788e-06,7.312499292311259e-06,8.390340254542545e-06,"[5.63749999855645e-05, 5.29589997313451e-05, 5.087500176159665e-05]"
http://server5:8085/abort,1.0600430068734567e-05,7.458000254700892e-06,1.138364767634892e-05,"[4.5916000090073794e-05, 7.379200178547762e-05, 5.595900074695237e-05, 4.958299905410968e-05]"
http://server4:8084/abort,9.90210010058945e-06,7.354001354542561e-06,8.54451957136805e-06,"[3.579199983505532e-05, 5.062499985797331e-05, 5.225000131758861e-05]"
http://server5:8085/wait,1.0754560062196106e-05,7.2500006353948265e-06,1.233052323412284e-05,"[5.287500243866816e-05, 5.054200300946832e-05, 6.716699863318354e-05, 5.5166998208733276e-05, 5.879200034542009e-05]"
http://server2:8082/wait,1.1497919913381339e-05,6.896001650602557e-06,1.9140904060103018e-05,"[8.133300070767291e-05, 0.0001538340002298355]"
http://server5:8085/reset,9.42790022236295e-06,7.167000148911029e-06,1.2421862702782513e-05,"[9.962500189431012e-05, 8.104200242087245e-05]"
http://server4:8084/reset,1.245960040250793e-05,7.687498509767465e-06,1.5594955229935963e-05,"[6.80840021232143e-05, 7.079200076987036e-05, 6.887500057928264e-05, 7.287499829544686e-05, 6.383399886544794e-05]"
http://server4:8084/wait,1.038659996993374e-05,7.124999683583155e-06,1.073741014899444e-05,"[5.525000233319588e-05, 5.6332999520236626e-05, 4.8125002649612725e-05, 5.650000093737617e-05]"
http://server2:8082/reset,1.1307080094411503e-05,7.583001206512563e-06,1.4028634857655978e-05,"[6.666699846391566e-05, 6.56669981253799e-05, 6.812499850639142e-05, 5.374999818741344e-05, 8.250000246334821e-05]"
http://server1:8081/reset,1.0355809899920132e-05,7.416500011458993e-06,1.0449813415615875e-05,"[5.708399839932099e-05, 5.783300002804026e-05, 5.420800152933225e-05]"
