server,mean,median,std_dev,outliers
http://server2:8082/release,1.4212450096238172e-05,3.999997716164216e-06,4.6363333115531886e-05,"[0.00022633300250163302, 0.00015350000103353523, 0.00023933299962664023, 0.0004270830031600781, 0.00019799999790848233, 0.0002738330003921874]"
http://server5:8085/acquire,1.82914598917705e-05,4.042000000481494e-06,7.345006566578449e-05,"[0.0003223749990866054, 0.0004199169998173602, 0.0002832079990184866, 0.0007823749983799644, 0.00025254199863411486]"
http://server1:8081/release,1.7912944986164803e-05,3.6250003176974133e-06,9.401446944815056e-05,"[0.00095766600134084, 0.000854833000630606]"
http://server5:8085/release,1.1608709883148549e-05,3.854000169667415e-06,4.331656948663055e-05,"[0.00032329200257663615, 0.0001805419997253921, 0.0004022920002171304, 0.00028091599961044267]"
http://server2:8082/acquire,7.263935040100478e-06,3.875000402331352e-06,2.4191731553718217e-05,"[0.00029670900039491244, 0.00017358300101477653]"
http://server1:8081/acquire,1.4086840237723664e-05,3.916500645573251e-06,4.1147134314472045e-05,"[0.00014158300109556876, 0.0002663749983184971, 0.00023762500131851994, 0.000146416001371108, 0.0002907919988501817, 0.0001943340030265972, 0.00018058400019071996]"
http://server3:8083/acquire,1.507213981312816e-05,4.020499545731582e-06,4.760630760577216e-05,"[0.0002606249981909059, 0.00040512499981559813, 0.00016070899800979532, 0.0001969579971046187, 0.00027591700199991465, 0.00027725000109057873]"
http://server3:8083/release,1.179894996312214e-05,3.95800088881515e-06,3.869671857686077e-05,"[0.00019129200154566206, 0.0001397909982188139, 0.0001772089999576565, 0.0002917080018960405, 0.00032937499781837687, 0.00015741699826321565]"
http://server4:8084/acquire,1.1453549868747359e-05,3.832999937003478e-06,4.0161398956423545e-05,"[0.00018820799959939905, 0.00024079200011328794, 0.0003611249994719401, 0.00016158400103449821, 0.0002454589994158596, 0.00016820800010464154]"
http://server4:8084/release,1.3982710097479867e-05,3.7084992072777823e-06,7.171599120590203e-05,[0.000963999998930376]
