server,mean,median,std_dev,outliers
http://server1:8081/wait,1.11608800580143e-05,7.3544997576391324e-06,1.4392715738911095e-05,"[8.445800267509185e-05, 7.449999975506216e-05, 6.770899926777929e-05]"
http://server1:8081/notify,1.024163000693079e-05,7.374999768217094e-06,1.2908835047879818e-05,"[7.15000023774337e-05, 7.049999840091914e-05, 7.741700028418563e-05, 5.770899952040054e-05]"
http://server4:8084/notify,1.1744560069928411e-05,7.0829992182552814e-06,2.047123727720924e-05,"[0.00011462499969638884, 0.00015654200251447037]"
http://server5:8085/notify,9.269539878005163e-06,7.582999387523159e-06,8.806694842224977e-06,"[5.262499689706601e-05, 5.3625000873580575e-05, 5.837500066263601e-05]"
http://server2:8082/notify,1.0684170119930058e-05,7.68799873185344e-06,1.3697220321202894e-05,"[6.874999962747097e-05, 0.00010279200068907812, 5.3625000873580575e-05, 5.5209002312039956e-05]"
http://server2:8082/wait,1.5278709906851872e-05,6.9995003286749125e-06,3.250097781229295e-05,"[0.0001547089996165596, 0.00025725000159582123]"
http://server5:8085/wait,1.226461030455539e-05,6.8119989009574056e-06,1.8014235901101124e-05,"[8.054200225160457e-05, 7.041700155241415e-05, 0.00012533399785752408]"
http://server3:8083/notify_all,9.005379979498684e-06,7.208500392152928e-06,1.0064708097145488e-05,"[7.208299939520657e-05, 7.770799857098609e-05]"
http://server1:8081/notify_all,1.3429599930532276e-05,7.979000656632707e-06,2.276626500784558e-05,[0.00020729199968627654]
http://server5:8085/notify_all,9.129600002779625e-06,7.06249920767732e-06,1.347102027850184e-05,[0.00013587500143330544]
http://server3:8083/wait,1.0618349988362751e-05,6.666999979643151e-06,1.7883837052615187e-05,"[8.845900083542801e-05, 0.0001433750003343448]"
http://server2:8082/notify_all,1.0851619990717153e-05,7.4794988904614e-06,1.206703166157154e-05,"[4.9250000301981345e-05, 6.441599907702766e-05, 6.704100087517872e-05, 5.395799962570891e-05]"
http://server3:8083/notify,1.0373359982622787e-05,7.625498255947605e-06,1.0806056393691582e-05,"[4.7208002797560766e-05, 5.720799890696071e-05, 6.741699689882807e-05, 5.212500036577694e-05]"
http://server4:8084/notify_all,1.230743007909041e-05,7.582999387523159e-06,2.0629669131211406e-05,"[0.00014179199934005737, 0.00013324999963515438, 8.020799941732548e-05]"
http://server4:8084/wait,1.0828330050571822e-05,7.354001354542561e-06,1.3342480988382385e-05,"[5.5083000916056335e-05, 8.733399954508059e-05, 5.558300108532421e-05, 6.25829998170957e-05, 5.1125000027241185e-05]"
