server,mean,median,std_dev,outliers
http://server5:8085/set_event,1.690751999376516e-05,3.895499958161963e-06,8.418070265628165e-05,"[0.0007714160001341952, 0.0003572089999579475]"
http://server2:8082/wait_event,9.461209965593297e-06,3.916000423487276e-06,2.6745870682962102e-05,"[0.0001403339992975816, 0.0002185829998779809]"
http://server4:8084/set_event,9.18911000553635e-06,3.937500878237188e-06,2.0982444689942147e-05,"[9.59999997576233e-05, 8.558299941796577e-05, 0.00015258300027198857]"
http://server4:8084/wait_event,1.0179589971812674e-05,4.125000486965291e-06,2.6177426348211523e-05,"[0.00020029200004501035, 0.00010149999980058055, 0.00012287500067031942]"
http://server1:8081/set_event,1.6915750011321505e-05,3.9165001908259e-06,4.983998460686814e-05,"[0.0003510830001687282, 0.00017237500014744, 0.00023733299985906342]"
http://server1:8081/wait_event,1.3053769971520523e-05,3.957999979320448e-06,4.375550178705808e-05,"[0.00022570800047105877, 0.00018774999989545904, 0.00033024999993358506]"
http://server3:8083/wait_event,6.237900051928591e-06,3.916499736078549e-06,1.1511881809612638e-05,"[6.145899988041492e-05, 4.4749999688065145e-05, 9.604200022295117e-05]"
http://server2:8082/set_event,6.003809967296547e-06,3.5000002753804438e-06,1.2941380973688256e-05,[0.0001255409997611423]
http://server5:8085/wait_event,1.1001650027537836e-05,3.8120001590868924e-06,4.369109307055418e-05,"[0.0003967499997088453, 0.00019429200074227992]"
http://server3:8083/set_event,1.3823420013068243e-05,3.896000180247938e-06,4.264941074055967e-05,"[0.00025716699929034803, 0.00027837500056193676, 0.00017629200010560453]"
