server,mean,median,std_dev,outliers
http://server5:8085/acquire,1.3288703006537617e-05,4.291000095690833e-06,6.597039566175311e-05,"[0.0015743750000183354, 0.00023437499999090505, 0.00021429200000966375, 0.0002716250000958098, 0.00040066700012175716, 0.00022058300010030507, 0.00025012500009324867, 0.000222416999804409, 0.0009800419998100551, 0.00022533400010615878, 0.0003679589999592281]"
http://server5:8085/release,1.6630985997380776e-05,4.292000085115433e-06,8.984771073400387e-05,"[0.0006770420000066224, 0.0002901249999922584, 0.00034408399983476556, 0.0004159580000759888, 0.002360582999926919, 0.00032333300009668164, 0.00040079199993670045, 0.00045162499986872717, 0.0004174160001184646, 0.0007031249999727152, 0.00034758399988277233]"
http://server3:8083/acquire,2.245477500468951e-05,4.45899991063925e-06,9.524556542077319e-05,"[0.0003200410001227283, 0.000422500000013315, 0.0004371669999727601, 0.0017305829999259004, 0.001295208000101411, 0.000350208999861934, 0.0003248749999329448, 0.00048166700003093865, 0.0004991250000330183, 0.0003332090000185417, 0.0006433749999814609, 0.0008672500000557193, 0.00045108299991625245, 0.0003163330000006681, 0.0006846250000762666, 0.0005276249999042193, 0.00047487500000897853]"
http://server4:8084/acquire,2.0305498004518086e-05,4.541999942375696e-06,9.927843462572943e-05,"[0.0005972920000658632, 0.00042241699998157856, 0.00034237499994560494, 0.0003384579999874404, 0.00035587499996836414, 0.000628957999879276, 0.0009038749999490392, 0.0011574170000585582, 0.0021673749999990832, 0.0009266669999306032]"
http://server2:8082/acquire,1.5789957996048542e-05,4.416999900058727e-06,5.549184248292384e-05,"[0.0002324160000171105, 0.0004309169999032747, 0.0002153749999251886, 0.00020487500000854197, 0.0002622499998778949, 0.00026983399993696366, 0.0002545840000038879, 0.00030729100012649724, 0.00036349999982121517, 0.00021674999993592792, 0.00020545799998217262, 0.0002004999998916901, 0.00019350000002305023, 0.00024887500012482633, 0.00030491699999402044, 0.0004022079999685957, 0.0008387089999359887, 0.0004773329999352427, 0.0007772920000661543, 0.0002980829999614798, 0.0003048749999834399]"
http://server1:8081/acquire,1.2970581994750318e-05,4.542000169749372e-06,3.5941704930628864e-05,"[0.00020483399998738605, 0.00024091599993880664, 0.00016849999997248233, 0.0001336660000106349, 0.00018633400009093748, 0.0002204580000579881, 0.00015349999989666685, 0.00022199999989425123, 0.00040295899998454843, 0.00013808299991069362, 0.00015516700000262063, 0.000169292000009591, 0.00015654100002393534, 0.00024299999995491817, 0.00014099999998506973, 0.00020737500017276034, 0.00012412500018399442, 0.00013950000015938713, 0.0002168749999782449, 0.00014908299999660812, 0.0002547500000673608, 0.00021150000020497828, 0.0002907919999870501, 0.00018929199995909585, 0.0002079579999190173, 0.00015337499985434988, 0.0001664169999457954, 0.0003892500001256849]"
http://server3:8083/release,1.7414987999018193e-05,4.458000148588326e-06,0.0001460890649942004,"[0.004369666000002326, 0.0007239169999593287, 0.0010101660000145785]"
http://server4:8084/release,1.6776211003843856e-05,4.666999984692666e-06,5.882417911713722e-05,"[0.00023841699999138655, 0.0006993340000462922, 0.0002217910000581469, 0.00038583300010941457, 0.0002635420000842714, 0.00019787499991252844, 0.00020799999992959783, 0.0004356249999091233, 0.0007744170000023587, 0.0002408339998964948, 0.0006968339998820738, 0.00024483299989697116, 0.00027829200007545296, 0.00024216699989665358, 0.0004648330000236456, 0.0006100410000726697, 0.00027524999995875987, 0.00020175000008748611, 0.00020058299992342654]"
http://server1:8081/release,1.5593542000033265e-05,4.583000077218458e-06,6.247080858632348e-05,"[0.00021491600000445032, 0.0004032500000903383, 0.00034054200000355195, 0.00021733400012635684, 0.0002473340000506141, 0.0010222910000265983, 0.00023658300005990895, 0.0002152079998722911, 0.0002133750001576118, 0.0012154999999438587, 0.00029679199997190153, 0.00025024999990819197, 0.0002984580000884307, 0.00031962499997462146, 0.00035958299986305065]"
http://server2:8082/release,1.531444199872567e-05,4.45799992121465e-06,6.893164130877314e-05,"[0.0002302499999586871, 0.0002466250000452419, 0.0006710830000429269, 0.000247625000156404, 0.00024466599984407367, 0.0005552089999127929, 0.0002543749999404099, 0.00036387500017553975, 0.001665166000066165, 0.00042354099991825933, 0.00023337500010711665, 0.0002835829998275585, 0.00024333400006071315]"
